Name,RA,Dec,SED_Slope,YSO_Class,LCType
J181943.49-152208.9,274.931431,-15.369096,-0.26,FS,NV
J181122.84-171440.4,272.845308,-17.244593,-1.52,ClassII,Linear
J085156.96-430639.2,132.987323,-43.110918,-1.23,ClassII,Burst
J185433.92+014601.7,283.641328,1.767259,-1.34,ClassII,NV
J190259.32+043129.9,285.747104,4.524831,-0.08,FS,NV
J181846.75-162634.6,274.694695,-16.442825,-1.15,ClassII,Drop
J203452.92+412730.0,308.720518,41.458372,-1.79,ClassIII,NV
J203407.54+400325.8,308.531526,40.057219,-0.76,ClassII,NV
J085524.31-461000.0,133.851389,-46.166728,-0.91,ClassII,NV
J105703.47-610216.0,164.264524,-61.037786,-0.59,ClassII,NV
J160453.73-521553.6,241.223879,-52.264807,-0.64,ClassII,NV
J191337.06+102544.3,288.404421,10.42903,-1.47,ClassII,NV
J181151.75-173627.5,272.965671,-17.607644,0.2,FS,Irregular
J181918.29-161729.1,274.826291,-16.291281,-1.41,ClassII,NV
J111148.39-611104.5,167.951539,-61.184554,-0.85,ClassII,NV
J171952.22-370928.5,259.967582,-37.157842,1.84,ClassI,NV
J181402.18-190329.6,273.509147,-19.058329,-0.49,ClassII,Irregular
J201957.90+411617.9,304.991346,41.271365,0.6,ClassI,NV
J190154.90+061023.4,285.478544,6.173019,-0.44,ClassII,Irregular
J194038.56+225138.5,295.160485,22.860948,-0.82,ClassII,NV
J182544.88-122731.1,276.437056,-12.458608,-1.25,ClassII,NV
J225452.05+595321.2,343.717181,59.889291,-1.29,ClassII,NV
J101940.71-581305.5,154.919832,-58.218207,-0.68,ClassII,NV
J185902.56+022414.0,284.760822,2.4038,-1.2,ClassII,NV
J194656.28+234913.8,296.73456,23.820367,-0.54,ClassII,NV
J191031.34+101941.8,287.630598,10.328345,-0.14,FS,Irregular
J171714.28-393340.4,259.309718,-39.561335,-0.42,ClassII,Irregular
J103119.94-581929.2,157.833156,-58.324727,-0.45,ClassII,NV
J162704.53-491621.3,246.768956,-49.272489,-0.93,ClassII,NV
J143139.87-611140.4,217.915941,-61.194528,0.45,ClassI,NV
J145440.12-592923.9,223.667312,-59.489916,0.03,FS,NV
J085010.96-414211.4,132.54568,-41.703174,-0.46,ClassII,Burst
J183008.77-110023.2,277.536643,-11.006506,-0.46,ClassII,NV
J085711.34-431146.2,134.297334,-43.196307,-0.53,ClassII,Burst
J202532.27+390426.8,306.384459,39.074123,-1.72,ClassIII,NV
J085800.49-474638.4,134.502116,-47.777311,-1.17,ClassII,NV
