Source,RA,Dec,Paper,LCType,YSO_Class
NEOWISE_NS_228,274.528462,-16.855522,Neha_Sharma,Linear,FS
NEOWISE_NS_229,235.73552,-54.996445,Neha_Sharma,NV,ClassII
NEOWISE_NS_230,272.644038,-19.364878,Neha_Sharma,Irregular,ClassIII
NEOWISE_NS_231,266.181152,-28.91377,Neha_Sharma,NV,ClassII
NEOWISE_NS_232,277.787414,-11.848689,Neha_Sharma,NV,ClassII
NEOWISE_NS_233,151.878301,-57.294237,Neha_Sharma,NV,ClassII
NEOWISE_NS_234,270.689697,-29.029306,Neha_Sharma,NV,ClassII
NEOWISE_NS_235,157.49712,-58.29351,Neha_Sharma,NV,ClassI
NEOWISE_NS_236,132.240282,-44.335903,Neha_Sharma,NV,FS
NEOWISE_NS_237,306.818402,41.892013,Neha_Sharma,NV,ClassII
NEOWISE_NS_238,130.919334,-40.856494,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_239,309.637086,42.136743,Neha_Sharma,NV,ClassII
NEOWISE_NS_240,346.212555,60.384991,Neha_Sharma,NV,ClassII
NEOWISE_NS_241,307.335378,42.023772,Neha_Sharma,Irregular,ClassIII
NEOWISE_NS_242,262.346489,-34.516851,Neha_Sharma,Irregular,FS
NEOWISE_NS_243,293.58801,20.881675,Neha_Sharma,NV,ClassII
NEOWISE_NS_244,283.205018,2.414158,Neha_Sharma,Irregular,FS
NEOWISE_NS_245,306.350891,39.087612,Neha_Sharma,NV,ClassII
NEOWISE_NS_246,336.427003,57.683187,Neha_Sharma,Linear,ClassI
NEOWISE_NS_247,304.971663,40.869467,Neha_Sharma,NV,ClassI
NEOWISE_NS_248,343.433792,59.617652,Neha_Sharma,Irregular,FS
NEOWISE_NS_249,308.463782,41.910523,Neha_Sharma,NV,FS
NEOWISE_NS_250,137.047666,-48.111021,Neha_Sharma,Linear,FS
NEOWISE_NS_251,292.428244,18.239013,Neha_Sharma,NV,ClassII
NEOWISE_NS_252,137.578906,-48.763412,Neha_Sharma,NV,ClassIII
NEOWISE_NS_253,222.492312,-59.542764,Neha_Sharma,NV,FS
NEOWISE_NS_254,280.564768,-3.578802,Neha_Sharma,NV,ClassII
NEOWISE_NS_255,283.074813,0.414412,Neha_Sharma,NV,FS
NEOWISE_NS_256,278.829759,-7.416781,Neha_Sharma,NV,ClassI
NEOWISE_NS_257,208.048912,-61.537634,Neha_Sharma,NV,ClassIII
NEOWISE_NS_258,309.22443,42.753441,Neha_Sharma,NV,ClassIII
NEOWISE_NS_259,143.996654,-51.801845,Neha_Sharma,NV,FS
NEOWISE_NS_260,200.123436,-62.571643,Neha_Sharma,Irregular,FS
NEOWISE_NS_261,226.249854,-57.425154,Neha_Sharma,NV,FS
NEOWISE_NS_262,297.283505,26.703595,Neha_Sharma,NV,ClassII
NEOWISE_NS_263,143.532859,-51.53824,Neha_Sharma,Irregular,FS
NEOWISE_NS_264,221.27365,-58.997855,Neha_Sharma,Irregular,ClassIII
NEOWISE_NS_265,290.789164,14.370429,Neha_Sharma,NV,ClassI
NEOWISE_NS_266,168.331244,-61.30816,Neha_Sharma,NV,ClassII
NEOWISE_NS_267,132.550025,-43.817761,Neha_Sharma,NV,FS
NEOWISE_NS_268,262.716387,-31.265858,Neha_Sharma,NV,ClassIII
NEOWISE_NS_269,273.290039,-16.323671,Neha_Sharma,NV,ClassII
NEOWISE_NS_270,232.463897,-55.943471,Neha_Sharma,NV,ClassII
NEOWISE_NS_271,274.269493,-16.452033,Neha_Sharma,NV,ClassII
NEOWISE_NS_272,233.468954,-55.880063,Neha_Sharma,NV,ClassIII
NEOWISE_NS_273,259.305623,-37.748923,Neha_Sharma,NV,ClassII
NEOWISE_NS_274,222.60264,-59.977218,Neha_Sharma,NV,ClassII
NEOWISE_NS_275,255.266412,-42.811013,Neha_Sharma,NV,ClassII
NEOWISE_NS_276,309.18466,39.643458,Neha_Sharma,Irregular,FS
NEOWISE_NS_277,255.237131,-42.943798,Neha_Sharma,Irregular,FS
NEOWISE_NS_278,310.349461,39.61612,Neha_Sharma,NV,ClassII
NEOWISE_NS_279,235.586864,-54.396119,Neha_Sharma,NV,ClassII
NEOWISE_NS_280,197.092958,-62.139748,Neha_Sharma,Irregular,FS
NEOWISE_NS_281,309.122855,40.277292,Neha_Sharma,NV,ClassII
NEOWISE_NS_282,273.876298,-12.376922,Neha_Sharma,NV,ClassII
NEOWISE_NS_283,199.429092,-62.921656,Neha_Sharma,NV,ClassI
NEOWISE_NS_284,166.153223,-61.044069,Neha_Sharma,NV,FS
NEOWISE_NS_285,134.63013,-43.874328,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_286,140.865344,-50.121863,Neha_Sharma,NV,ClassII
NEOWISE_NS_287,339.215898,58.549842,Neha_Sharma,Burst,ClassI
NEOWISE_NS_288,294.457957,21.044614,Neha_Sharma,NV,ClassI
NEOWISE_NS_289,262.110714,-37.399868,Neha_Sharma,NV,ClassI
NEOWISE_NS_290,227.742171,-57.897964,Neha_Sharma,NV,ClassI
NEOWISE_NS_291,238.677568,-51.990624,Neha_Sharma,NV,ClassIII
NEOWISE_NS_292,210.127062,-60.755311,Neha_Sharma,Curved,ClassII
NEOWISE_NS_293,279.431461,-1.702905,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_294,184.802072,-62.084803,Neha_Sharma,NV,FS
NEOWISE_NS_295,310.065886,42.34148,Neha_Sharma,NV,FS
NEOWISE_NS_296,289.174914,12.701318,Neha_Sharma,NV,ClassII
NEOWISE_NS_297,187.450763,-63.62008,Neha_Sharma,Curved,ClassII
NEOWISE_NS_298,305.833125,37.499326,Neha_Sharma,NV,FS
NEOWISE_NS_299,287.565568,7.401395,Neha_Sharma,NV,ClassIII
NEOWISE_NS_300,212.82706,-60.8133,Neha_Sharma,NV,ClassIII
NEOWISE_NS_301,259.289169,-36.290273,Neha_Sharma,NV,ClassIII
NEOWISE_NS_302,292.806515,19.287756,Neha_Sharma,Burst,ClassII
NEOWISE_NS_303,271.028358,-25.948804,Neha_Sharma,NV,ClassII
NEOWISE_NS_304,271.141986,-20.525338,Neha_Sharma,NV,ClassII
NEOWISE_NS_305,133.003619,-46.238322,Neha_Sharma,Curved,ClassI
NEOWISE_NS_306,307.240005,40.517084,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_307,131.478625,-43.911262,Neha_Sharma,NV,ClassII
NEOWISE_NS_308,290.814712,15.128079,Neha_Sharma,NV,FS
NEOWISE_NS_309,191.980021,-62.888559,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_310,134.599097,-47.390188,Neha_Sharma,NV,ClassII
NEOWISE_NS_311,159.48534,-58.589148,Neha_Sharma,NV,ClassII
NEOWISE_NS_312,276.297117,-13.115738,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_313,145.822186,-53.94535,Neha_Sharma,NV,FS
NEOWISE_NS_314,274.931431,-15.369096,Neha_Sharma,NV,FS
NEOWISE_NS_315,272.845308,-17.244593,Neha_Sharma,Linear,ClassII
NEOWISE_NS_316,132.987323,-43.110918,Neha_Sharma,Burst,ClassII
NEOWISE_NS_317,283.641328,1.767259,Neha_Sharma,NV,ClassII
NEOWISE_NS_318,285.747104,4.524831,Neha_Sharma,NV,FS
NEOWISE_NS_319,274.694695,-16.442825,Neha_Sharma,Drop,ClassII
NEOWISE_NS_320,308.720518,41.458372,Neha_Sharma,NV,ClassIII
NEOWISE_NS_321,308.531526,40.057219,Neha_Sharma,NV,ClassII
NEOWISE_NS_322,133.851389,-46.166728,Neha_Sharma,NV,ClassII
NEOWISE_NS_323,164.264524,-61.037786,Neha_Sharma,NV,ClassII
NEOWISE_NS_324,241.223879,-52.264807,Neha_Sharma,NV,ClassII
NEOWISE_NS_325,288.404421,10.42903,Neha_Sharma,NV,ClassII
NEOWISE_NS_326,272.965671,-17.607644,Neha_Sharma,Irregular,FS
