Name,RA,Dec,SED_Slope,YSO_Class,LCType
J172618.46-362059.4,261.577,-36.349833,-1.33,ClassII,Irregular
J130630.60-621128.1,196.627681,-62.191231,0.02,FS,Irregular
J180831.00-182024.6,272.129355,-18.340237,-0.77,ClassII,Irregular
J085109.71-434650.3,132.790641,-43.780782,-0.18,FS,Irregular
J191203.06+085811.1,288.012788,8.969733,-0.28,FS,Irregular
J203725.25+395049.1,309.355404,39.846983,-0.72,ClassII,Irregular
J084821.49-424218.4,132.089582,-42.705081,-0.03,FS,Irregular
J180732.02-255343.1,271.883416,-25.895363,-1.28,ClassII,Irregular
J142121.97-620734.9,215.34161,-62.126389,0.06,FS,Irregular
J181840.37-203220.5,274.668224,-20.539041,-0.5,ClassII,Irregular
J202727.61+403432.9,306.865079,40.575864,0.44,ClassI,Irregular
J134458.43-623902.0,206.243501,-62.650491,-1.5,ClassII,Drop
J192648.95+153338.5,291.704009,15.560665,0.0,FS,Irregular
J192259.86+151521.2,290.749474,15.255909,0.09,FS,Irregular
J152241.62-565149.7,230.673427,-56.863778,0.03,FS,Irregular
J170029.61-435300.4,255.123457,-43.883493,1.07,ClassI,Irregular
J193038.61+165936.2,292.660928,16.993374,-0.65,ClassII,Irregular
J192515.45+164755.6,291.314376,16.79905,-0.03,FS,Burst
J192401.02+150325.9,291.004129,15.05728,-1.09,ClassII,Irregular
J135047.41-620520.2,207.697626,-62.08887,-1.33,ClassII,Curved
J192528.28+141817.2,291.367916,14.304594,0.15,FS,Irregular
J135838.62-621725.6,209.660788,-62.290328,-1.06,ClassII,Irregular
J192528.60+150327.3,291.369178,15.057587,-1.87,ClassIII,Drop
J162052.41-500211.2,245.218415,-50.03635,-0.52,ClassII,Irregular
J104619.64-595656.2,161.581893,-59.948998,0.85,ClassI,Irregular
J091019.40-483926.8,137.580863,-48.657471,-1.66,ClassIII,Burst
J172126.84-353225.2,260.361884,-35.540311,-0.28,FS,Irregular
J204130.81+415505.1,310.378385,41.918079,1.92,ClassI,Burst
J102231.92-581308.7,155.633012,-58.219293,-0.41,ClassII,Irregular
J154644.79-540622.5,236.686622,-54.106211,-0.31,ClassII,Irregular
J154912.34-532658.7,237.301383,-53.449585,-2.17,ClassIII,Irregular
J192949.89+172150.2,292.457966,17.363992,-0.1,FS,Linear
J192619.47+162442.8,291.581167,16.411942,-1.35,ClassII,Irregular
J102510.75-583152.1,156.294867,-58.531256,0.51,ClassI,Curved
J204035.62+415607.7,310.148441,41.935249,0.52,ClassI,Irregular
J141241.64-620840.7,213.173805,-62.14458,-1.94,ClassIII,Linear
J175537.75-240241.2,268.907346,-24.044792,-1.11,ClassII,Irregular
J141953.09-602045.9,214.971253,-60.346032,-0.03,FS,Curved
J130053.13-622922.8,195.221565,-62.489725,-0.32,ClassII,Irregular
J194511.60+234135.0,296.298404,23.693066,-0.38,ClassII,Irregular
J085152.42-435302.0,132.968558,-43.883912,-0.53,ClassII,Linear
J084617.05-432358.5,131.571028,-43.399583,0.12,FS,Irregular
J202335.39+395638.2,305.897467,39.943966,-1.21,ClassII,Irregular
J182021.98-124810.3,275.091718,-12.80286,-0.9,ClassII,Irregular
J085808.25-464926.3,134.534436,-46.823998,-0.07,FS,Irregular
J162326.72-492956.7,245.861337,-49.499038,-0.29,FS,Irregular
J165532.36-391621.2,253.88494,-39.272506,-0.22,FS,Irregular
J192601.12+170511.9,291.504654,17.086563,-0.62,ClassII,Periodic
J152100.15-575153.5,230.250906,-57.864768,-0.11,FS,Irregular
J085018.27-442647.7,132.576126,-44.446622,-1.0,ClassII,Curved
J145125.34-602245.5,222.855591,-60.379256,0.51,ClassI,Irregular
J171038.71-370832.9,257.661337,-37.142485,-0.23,FS,Irregular
J181149.87-171859.7,272.957674,-17.316695,-0.22,FS,Drop
J170320.75-410126.1,255.83657,-41.023953,-1.26,ClassII,Irregular
J172431.11-342127.9,261.129663,-34.357777,-0.84,ClassII,Irregular
J095731.07-563117.5,149.379518,-56.521522,0.6,ClassI,Linear
J202422.62+371548.1,306.094264,37.263347,-0.16,FS,Irregular
J203034.32+402757.8,307.643048,40.466038,-1.6,ClassIII,Burst
J174831.19-314417.2,267.130031,-31.738037,-0.46,ClassII,Irregular
J160428.48-531513.2,241.118753,-53.253631,-0.92,ClassII,Irregular
J165222.50-431820.6,253.093761,-43.305746,0.29,FS,Irregular
J203216.85+390528.6,308.0702,39.091388,-0.07,FS,Irregular
J175035.36-321348.5,267.647348,-32.230113,0.32,ClassI,Irregular
J190958.34+072144.3,287.493157,7.362278,-1.57,ClassII,Irregular
J191855.18+121841.1,289.729983,12.311353,-0.6,ClassII,Curved
J183242.81-070813.7,278.178376,-7.137144,-0.51,ClassII,Irregular
J084250.29-411411.8,130.709601,-41.236608,0.01,FS,Linear
J163533.75-462957.9,248.890764,-46.499426,-0.27,FS,Irregular
J170114.63-424646.3,255.311041,-42.779635,-0.71,ClassII,Irregular
J090954.62-483849.9,137.477457,-48.647227,0.15,FS,Irregular
